DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,BORE_OIL_VOL,AVG_WHP_P,AVG_ANNULUS_PRESS,ANNULUS_FILLED,WINDOW,TRUE_LABEL,DRIFT_ONSET,INJECTED_FEATURES
2008-02-13,303.033518125,105.57433902849137,182.1449420833333,1869.7,120.88857604166668,16.466641041666666,0,baseline,No Drift,0,
2008-02-14,295.58606133333336,105.77548622222224,181.86788666666664,3124.09,113.71817466666668,12.659589111111112,0,baseline,No Drift,0,
2008-02-15,297.66270211663067,105.75187535637149,180.8320604535637,2608.28,116.83064166306696,5.264051706263499,0,baseline,No Drift,0,
2008-02-16,295.9355189583333,105.811114375,180.50104479166663,3051.8,115.43447416666666,12.384633541666666,0,baseline,No Drift,0,
2008-02-17,295.5516572916667,105.83129916666668,180.3457808333333,2982.63,115.20587645833334,14.384565208333331,0,baseline,No Drift,0,
2008-02-18,294.21106282608696,105.86646695652172,180.92924760869565,2980.52,113.2818152173913,15.980444130434783,0,baseline,No Drift,0,
2008-02-19,293.829243125,105.86795833333332,180.06011520833334,3046.19,113.76912791666666,18.811254375,0,baseline,No Drift,0,
2008-02-20,293.0614802083333,105.87933021276596,179.66174354166668,3057.18,113.39973666666668,19.740757234042555,0,baseline,No Drift,0,
2008-02-21,292.5402470833333,105.88343395833331,179.433895,3030.33,113.10635208333332,19.43167520833333,0,baseline,No Drift,0,
2008-02-22,292.3615588469096,105.88229316314596,179.2822295892872,2907.56,113.07932925762232,1.038593039423391,0,baseline,No Drift,0,
2008-02-24,290.54162541666665,105.90578958333332,179.35469375,3126.7,111.18693166666668,8.582714375,0,baseline,No Drift,0,
2008-02-25,290.2081439583333,105.8956975,178.758408125,3045.54,111.44973583333334,12.3043675,0,baseline,No Drift,0,
2008-02-26,289.5361845833333,105.90156645833332,178.60267479166666,3046.54,110.93350979166668,12.506407083333333,0,baseline,No Drift,0,
2008-02-27,288.93326291666665,105.90246333333332,178.60774625,3035.54,110.32551666666669,12.375716666666667,0,baseline,No Drift,0,
2008-02-28,288.8482654034959,105.8960803842832,178.21955504262536,2971.55,110.62871036087051,10.149501590093406,0,baseline,No Drift,0,
2008-02-29,287.5143464583333,105.906833125,178.06743958333334,3070.54,109.446906875,11.423948541666666,0,baseline,No Drift,0,
2008-03-01,286.8915927083333,105.90908916666666,178.06476229166665,3068.48,108.82683041666668,11.15552625,0,baseline,No Drift,0,
2008-03-02,286.2646760416667,105.91060979166669,177.943628125,3066.54,108.32104791666669,11.222632708333334,0,baseline,No Drift,0,
2008-03-03,285.7278645833333,105.91012166666668,177.66862104166665,3043.54,108.05924354166666,10.866487916666667,0,baseline,No Drift,0,
2008-03-04,285.38199645833333,105.90365333333334,177.30688125,2983.19,108.07511520833332,9.828944791666666,0,baseline,No Drift,0,
2008-03-05,284.82887520833333,105.901836875,176.95958916666666,2967.05,107.86928604166668,9.322769583333333,0,baseline,No Drift,0,
2008-03-06,284.29474416666665,105.89892395833331,176.98435708333332,2950.88,107.31038708333334,9.113609583333334,0,baseline,No Drift,0,
2008-03-07,284.4236820464207,105.87815328384866,176.6699935935582,2656.62,107.75368845286256,6.275873780184494,0,baseline,No Drift,0,
2008-03-08,284.4131456047696,105.8712220838174,176.38169897861303,2578.48,108.03144662615652,4.590883575517391,0,baseline,No Drift,0,
2008-03-09,282.38606708333333,105.90461208333332,176.45656520833333,2996.83,105.929501875,8.581735625,0,baseline,No Drift,0,
2008-03-10,281.52225791666666,105.90640479166667,176.232611875,3021.4,105.28964604166669,9.011776458333332,0,baseline,No Drift,0,
2008-03-11,280.8944389583333,105.90751458333334,176.083680625,3010.4,104.81075833333334,8.933146041666667,0,baseline,No Drift,0,
2008-03-12,281.0849126182965,105.89505798107255,176.0320423449001,2794.44,105.05287027339642,6.69535807570978,0,baseline,No Drift,0,
2008-03-13,279.48820041666664,105.91619208333331,176.04687916666666,3058.89,103.44132125,8.6407475,0,baseline,No Drift,0,
2008-03-14,279.1117827797153,105.911560155358,175.89233934565613,2964.81,103.21944343405916,7.824437615869198,0,baseline,No Drift,0,
2008-03-15,277.9511014583333,105.91543125,175.81110125,3131.37,102.14000020833332,8.8183275,0,baseline,No Drift,0,
2008-03-16,277.2925220833333,105.91714041666668,175.553445,3135.37,101.73907708333331,8.410489375,0,baseline,No Drift,0,
2008-03-17,276.5644272916667,105.92080104166666,175.26535958333332,3143.37,101.29906770833334,8.006294583333334,0,baseline,No Drift,0,
2008-03-18,275.9827633333333,105.91885083333334,175.07195041666665,3132.37,100.91081291666669,7.753214375,0,baseline,No Drift,0,
2008-03-19,275.36289,105.91795270833332,174.90306375,3139.62,100.45982625,7.475899791666666,0,baseline,No Drift,0,
2008-03-20,274.79269416666665,105.91529458333332,174.668426875,3156.67,100.12426729166668,6.968092708333334,0,baseline,No Drift,0,
2008-03-21,274.07213145833333,105.91596291666669,174.49839833333334,3192.14,99.573733125,6.696183541666667,0,baseline,No Drift,0,
2008-03-22,273.4561072916667,105.91546583333331,174.28361125,3172.12,99.17249604166666,6.462107916666667,0,baseline,No Drift,0,
2008-03-23,272.8807791666667,105.91282166666667,174.087919375,3160.26,98.79285979166669,6.287791041666667,0,baseline,No Drift,0,
2008-03-24,272.2367566666667,105.91278583333332,173.83483,3153.35,98.40192666666668,4.956670833333333,0,baseline,No Drift,0,
